name,description,stars,agui_dependency,evidence,repo_url,screenshots
langchain,Serve a LangChain agent over AG-UI,145091,true,the protocol repo ships an integration for it,https://github.com/langchain-ai/langchain,https://repository-images.githubusercontent.com/552661142/7392d590-2716-4261-b623-a0579df67e0d;https://raw.githubusercontent.com/langchain-ai/langchain/HEAD/.github/images/logo-dark.svg
crewAI,Drive a CrewAI Flow from the browser,57660,true,the protocol repo ships an integration for it,https://github.com/crewAIInc/crewAI,https://repository-images.githubusercontent.com/710601088/b287b45c-081a-4001-884d-67374219f277;https://raw.githubusercontent.com/crewAIInc/crewAI/HEAD/docs/images/crewai_logo.png;https://raw.githubusercontent.com/crewAIInc/crewAI/HEAD/docs/images/asset.png
llama_index,Give a LlamaIndex agent a front end,51886,true,the protocol repo ships an integration for it,https://github.com/run-llama/llama_index,
agno,Put an Agno agent behind a copilot,41936,true,the protocol repo ships an integration for it,https://github.com/agno-agi/agno,https://github.com/user-attachments/assets/6d21e6bc-111f-4b81-ba29-6550fead89b2
langgraph,Stream a LangGraph run into a React app,40522,true,the protocol repo ships an integration for it,https://github.com/langchain-ai/langgraph,https://repository-images.githubusercontent.com/676672661/b8343a50-7115-4759-ac4b-9466e1c64b85;https://raw.githubusercontent.com/langchain-ai/langgraph/HEAD/.github/images/logo-dark.svg
CopilotKit,"Drop a copilot into a React, Angular, or mobile app",37068,true,package.json declares an AG-UI package,https://github.com/CopilotKit/CopilotKit,https://repository-images.githubusercontent.com/655515393/3299a492-753a-4726-ad71-ea5d268c6e79;https://raw.githubusercontent.com/CopilotKit/CopilotKit/HEAD/assets/bring-your-own-agent-any-channel.png;https://github.com/user-attachments/assets/6f175d86-bd22-4c26-a13a-6013654ed542;https://github.com/user-attachments/assets/a625237a-cfc1-45fc-8d0c-637316b81291
mastra,Wire a Mastra agent to a chat UI,27508,true,the protocol repo ships an integration for it,https://github.com/mastra-ai/mastra,
ai,Bridge the Vercel AI SDK,26434,true,the protocol repo ships an integration for it,https://github.com/vercel/ai,https://repository-images.githubusercontent.com/644461337/ed2df190-2452-4a24-8529-fbf4871e0c4b
adk-python,Bring a Google ADK agent into a front end,21302,true,the protocol repo ships an integration for it,https://github.com/google/adk-python,https://repository-images.githubusercontent.com/958830659/9d57973c-4761-4c31-b073-c8dbeb9728d5;https://raw.githubusercontent.com/google/adk-python/main/assets/adk-web-dev-ui.png;https://raw.githubusercontent.com/google/adk-python/main/assets/agent-development-kit.png
pydantic-ai,Serve a Pydantic AI agent over AG-UI,19525,true,the protocol repo ships an integration for it,https://github.com/pydantic/pydantic-ai,
ag-ui,Read the protocol itself,15567,true,package.json declares an AG-UI package,https://github.com/ag-ui-protocol/ag-ui,https://github.com/user-attachments/assets/ebc0dd08-8732-4519-9b6c-452ce54d8058;https://github.com/user-attachments/assets/00ec7366-713e-443f-a8f0-8db52ad28ef4;https://github.com/user-attachments/assets/41138f71-50be-4812-98aa-20e0ad595716
agent-framework,Attach a UI to Microsoft Agent Framework,13137,true,the protocol repo ships an integration for it,https://github.com/microsoft/agent-framework,https://raw.githubusercontent.com/microsoft/agent-framework/HEAD/docs/assets/readme-banner.png
tambo,Generative UI SDK for React,11170,true,package.json declares a CopilotKit package,https://github.com/tambo-ai/tambo,https://raw.githubusercontent.com/tambo-ai/tambo/HEAD/assets/octo-white-background-rounded.png;https://raw.githubusercontent.com/tambo-ai/tambo/HEAD/assets/tambo-animation.gif
spring-ai,Put a Spring AI agent behind a copilot,9361,true,the protocol repo ships an integration for it,https://github.com/spring-projects/spring-ai,
claude-agent-sdk-python,Front-end the Claude Agent SDK,7984,true,the protocol repo ships an integration for it,https://github.com/anthropics/claude-agent-sdk-python,
harness-sdk,Run AWS Strands agents with a UI attached,7026,true,the protocol repo ships an integration for it,https://github.com/strands-agents/harness-sdk,
genkit,Connect Firebase Genkit to AG-UI,6381,true,the protocol repo ships an integration for it,https://github.com/genkit-ai/genkit,https://raw.githubusercontent.com/genkit-ai/genkit/HEAD/docs/resources/genkit-logo-dark.png#gh-dark-mode-only;https://raw.githubusercontent.com/genkit-ai/genkit/HEAD/docs/resources/genkit-logo.png#gh-light-mode-only;https://raw.githubusercontent.com/genkit-ai/genkit/HEAD/docs/resources/readme-ui-traces-screenshot.png
agents,Run an AG-UI agent on Cloudflare,5490,true,the protocol repo ships an integration for it,https://github.com/cloudflare/agents,https://raw.githubusercontent.com/cloudflare/agents/HEAD/assets/npm-install-agents.svg
ag2,Connect an AG2 conversation to the browser,4891,true,the protocol repo ships an integration for it,https://github.com/ag2ai/ag2,https://raw.githubusercontent.com/ag2ai/ag2/27b37494a6f72b1f8050f6bd7be9a7ff232cf749/website/static/img/ag2.svg
agent-service-toolkit,"Full toolkit for running an AI agent service built with LangGraph, FastAPI and Streamlit",4443,true,scripts/agui-client/package.json declares an AG-UI package,https://github.com/JoshuaC215/agent-service-toolkit,https://repository-images.githubusercontent.com/838093526/9d7f3a8e-7e24-47fc-ac28-f06714800476;https://raw.githubusercontent.com/JoshuaC215/agent-service-toolkit/HEAD/media/app_screenshot.png;https://raw.githubusercontent.com/JoshuaC215/agent-service-toolkit/HEAD/media/agent_architecture.png
langroid,Stream Langroid agents to a UI,4101,true,the protocol repo ships an integration for it,https://github.com/langroid/langroid,https://repository-images.githubusercontent.com/628729877/6e85c50f-cc49-4f6b-a3a8-5d7e30cc4fe1;https://raw.githubusercontent.com/langroid/langroid/main/docs/assets/demos/lease-extractor-demo.gif;https://raw.githubusercontent.com/langroid/langroid/main/docs/assets/langroid-card-lambda-ossem-rust-1200-630.png
core,Run a pluggable agent microservice,3085,true,pyproject.toml declares an AG-UI package,https://github.com/cheshire-cat-ai/core,
OpenBot,"Open-source AI coworkers that each get a computer of their own: a browser, files and tools, with every action decided before it happens and recorded after. Bring any AG-UI agent.",3046,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/OpenBot,https://raw.githubusercontent.com/CopilotKit/OpenBot/HEAD/assets/architecture-light.svg
trpc-agent-go,"A Go framework for building production agent systems with graph workflows, tools, memory, A2A, AG-UI, MCP, evaluation, and observability.",1735,true,test/go.mod declares an AG-UI package,https://github.com/trpc-group/trpc-agent-go,https://repository-images.githubusercontent.com/983515771/6607d7cc-707c-4276-a5ec-79d1d5ea7132;https://raw.githubusercontent.com/trpc-group/trpc-agent-go/HEAD/docs/mkdocs/assets/gif/agui/report.gif;https://raw.githubusercontent.com/trpc-group/trpc-agent-go/HEAD/docs/mkdocs/assets/img/component_architecture.svg;https://raw.githubusercontent.com/trpc-group/trpc-agent-go/star-history/star-history.svg
open-mcp-client,Talk to any MCP server from an agent chat,1647,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/open-mcp-client,https://github.com/user-attachments/assets/8167c845-0381-45d9-ad1c-83f995d48290
OpenGenerativeUI,Render generative UI from any agent,1521,true,apps/agent/pyproject.toml declares a CopilotKit package,https://github.com/CopilotKit/OpenGenerativeUI,
ALwrity,"ALwrity - AI-first Digital Marketing Platform. AI Content Strategy and Planning, Multimodal content generation, Publishing, Analytics, AI SEO, Connect & Manage Social Accounts. Marketing OS - WIP",1137,true,frontend/package.json declares a CopilotKit package,https://github.com/ALwrity/ALwrity,https://repository-images.githubusercontent.com/701627142/a0c54756-a255-4108-95c6-f68b4abefe3b;https://raw.githubusercontent.com/AJaySi/AI-Writer/main/docs-site/docs/assests/hero-1.jpg;https://raw.githubusercontent.com/AJaySi/AI-Writer/main/docs-site/docs/assests/hero-2.png;https://raw.githubusercontent.com/AJaySi/AI-Writer/main/docs-site/docs/assests/hero-3.png
OpenTag,Run a self-hosted on-call agent,1123,true,package.json declares an AG-UI package,https://github.com/CopilotKit/OpenTag,https://raw.githubusercontent.com/CopilotKit/OpenTag/HEAD/assets/demo-chart.png;https://raw.githubusercontent.com/CopilotKit/OpenTag/HEAD/assets/demo-approval.png;https://raw.githubusercontent.com/CopilotKit/OpenTag/HEAD/assets/demo-research.png
AGenUI,"Render A2UI natively on iOS, Android, and HarmonyOS",1120,false,no dependency found,https://github.com/AGenUI/AGenUI,https://raw.githubusercontent.com/AGenUI/AGenUI/HEAD/docs/images/hero.gif;https://raw.githubusercontent.com/AGenUI/AGenUI/HEAD/docs/images/a2ui_rendering_effect.png;https://raw.githubusercontent.com/AGenUI/AGenUI/HEAD/docs/images/architecture.svg;https://raw.githubusercontent.com/AGenUI/AGenUI/HEAD/docs/images/components.svg
aimock,Mock everything the app talks to,902,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/aimock,
channels-sdk,"Put your agent in Slack, Teams, or Discord",873,true,examples/mastra-sandbox/package.json declares an AG-UI package,https://github.com/CopilotKit/channels-sdk,https://raw.githubusercontent.com/CopilotKit/channels-sdk/HEAD/assets/hero-any-agent-any-channel.png;https://raw.githubusercontent.com/CopilotKit/channels-sdk/HEAD/assets/demo-slack.png;https://raw.githubusercontent.com/CopilotKit/channels-sdk/HEAD/assets/demo-teams.png;https://raw.githubusercontent.com/CopilotKit/channels-sdk/HEAD/assets/demo-discord.png
financial-agent-ui,Study a finished generative-UI front end,794,false,no dependency found,https://github.com/virattt/financial-agent-ui,
bedrock-agentcore-sdk-python,Ship an agent on Bedrock AgentCore,755,true,pyproject.toml declares an AG-UI package,https://github.com/aws/bedrock-agentcore-sdk-python,https://github.com/user-attachments/assets/b8b9456d-c9e2-45e1-ac5b-760f21f1ac18
datafoundry,Analyse data in an agent workbench,740,true,package.json declares an AG-UI package,https://github.com/datagallery-ai/datafoundry,https://raw.githubusercontent.com/datagallery-ai/datafoundry/HEAD/docs/assets/readme/gui-demo.gif;https://raw.githubusercontent.com/datagallery-ai/datafoundry/HEAD/docs/assets/readme/runtime-flow.png;https://raw.githubusercontent.com/datagallery-ai/datafoundry/HEAD/docs/assets/readme/tui-demo.gif;https://raw.githubusercontent.com/datagallery-ai/datafoundry/HEAD/docs/assets/readme/database-wall.png
haiku.rag,"Agentic RAG for local and self-hosted document search: hybrid retrieval, reranking and multimodal RAG on embedded LanceDB, with Docling parsing and an MCP server",584,true,app/frontend/package.json declares an AG-UI package,https://github.com/ggozad/haiku.rag,
open-multi-agent-canvas,Manage several agents in one chat,526,true,agent/pyproject.toml declares a CopilotKit package,https://github.com/CopilotKit/open-multi-agent-canvas,https://github.com/user-attachments/assets/8167c845-0381-45d9-ad1c-83f995d48290;https://github.com/user-attachments/assets/5953a5a6-5686-4722-9477-5279b67b3dba;https://raw.githubusercontent.com/CopilotKit/open-multi-agent-canvas/HEAD/agent/demo/mcp-demo.gif;https://github.com/user-attachments/assets/6bf41042-9529-4470-8baf-dd076aad31a1
BookWorm,"The practical implementation of Aspire using Microservices, AI-Agents",504,true,src/Clients/apps/storefront/package.json declares an AG-UI package,https://github.com/foxminchan/BookWorm,https://repository-images.githubusercontent.com/829413452/71fa1100-edcd-47b6-b096-cd6ecfb6cdc4;https://raw.githubusercontent.com/foxminchan/BookWorm/HEAD/assets/Storefront.png;https://raw.githubusercontent.com/foxminchan/BookWorm/HEAD/assets/Backoffice.png;https://raw.githubusercontent.com/foxminchan/BookWorm/HEAD/assets/BookWorm.png
Cyrene-Agent,Run an AI desktop companion,428,true,package.json declares an AG-UI package,https://github.com/Playa-0v0/Cyrene-Agent,https://repository-images.githubusercontent.com/1291503861/30979c43-9834-4871-905f-83b519b1ff68;https://raw.githubusercontent.com/Playa-0v0/Cyrene-Agent/HEAD/docs/image/harness.png;https://raw.githubusercontent.com/Playa-0v0/Cyrene-Agent/HEAD/docs/image/work.png;https://raw.githubusercontent.com/Playa-0v0/Cyrene-Agent/HEAD/docs/image/code.png
agent-spec,Run an Open Agent Spec agent over AG-UI,405,true,the protocol repo ships an integration for it,https://github.com/oracle/agent-spec,https://raw.githubusercontent.com/oracle/agent-spec/HEAD/docs/pyagentspec/source/_static/agentspec-dark.svg;https://raw.githubusercontent.com/oracle/agent-spec/HEAD/docs/pyagentspec/source/_static/agentspec_spec_img/agentspec_positioning.svg
open-research-ANA,Run a research canvas,400,true,agent/requirements.txt declares a CopilotKit package,https://github.com/CopilotKit/open-research-ANA,https://github.com/user-attachments/assets/70c7db1b-de5b-4fb2-b447-09a3a1b78d73
stratix-python,,264,true,samples/copilotkit/app/backend/requirements.txt declares a CopilotKit package,https://github.com/LayerLens/stratix-python,https://raw.githubusercontent.com/LayerLens/stratix-python/HEAD/demo-stratix.gif
shadify,Stream shadcn components instead of plain text,263,true,apps/agent/pyproject.toml declares a CopilotKit package,https://github.com/CopilotKit/shadify,
AgenticX,Build on a production multi-agent platform,218,false,no dependency found,https://github.com/DemonDamon/AgenticX,https://raw.githubusercontent.com/DemonDamon/AgenticX/HEAD/assets/agenticx-logo.svg;https://raw.githubusercontent.com/DemonDamon/AgenticX/HEAD/assets/AgenticX;https://raw.githubusercontent.com/DemonDamon/AgenticX/HEAD/desktop/assets/near-desktop-architecture-en.png;https://raw.githubusercontent.com/DemonDamon/AgenticX/HEAD/enterprise/assets/enterprise-architecture-en.png
idun-agent-platform,"🟪 Open-source runtime that ships any LangGraph or Google ADK agent as a production-ready FastAPI service. Bundled , AG-UI copilotkit API, chat UI, 15+ guardrails, MCP, OpenTelemetry, OIDC. One pip install. Self-hosted, no vendor lock-in.",198,true,libs/idun_agent_engine/pyproject.toml declares an AG-UI package,https://github.com/Idun-Group/idun-agent-platform,https://raw.githubusercontent.com/Idun-Group/idun-agent-platform/HEAD/docs/images/readme/banner.png;https://raw.githubusercontent.com/Idun-Group/idun-agent-platform/HEAD/docs/images/readme/demo.webp;https://raw.githubusercontent.com/Idun-Group/idun-agent-platform/HEAD/docs/images/readme/welcome-ui.png;https://raw.githubusercontent.com/Idun-Group/idun-agent-platform/HEAD/docs/images/readme/chat-mcp.png
wayflow,Serve a Wayflow agent to a front end,189,true,the protocol repo ships an integration for it,https://github.com/oracle/wayflow,https://raw.githubusercontent.com/oracle/wayflow/HEAD/docs/wayflowcore/source/_static/logo-light.svg;https://raw.githubusercontent.com/oracle/wayflow/HEAD/docs/wayflowcore/source/_static/agentspec_spec_img/agentspec_positioning.svg
agentpool,Orchestrate a pool of configured agents,183,true,pyproject.toml declares an AG-UI package,https://github.com/phil65/agentpool,
biken,,180,true,package.json declares a CopilotKit package,https://github.com/bikenwaldr/biken,
codebase-navigator,,177,true,package.json declares a CopilotKit package,https://github.com/starlightknown/codebase-navigator,
ibm-watsonx-orchestrate-adk,Reach IBM watsonx Orchestrate from a front end,176,true,the protocol repo ships an integration for it,https://github.com/IBM/ibm-watsonx-orchestrate-adk,https://raw.githubusercontent.com/IBM/ibm-watsonx-orchestrate-adk/HEAD/_docs/assets/chat-example.png;https://raw.githubusercontent.com/IBM/ibm-watsonx-orchestrate-adk/HEAD/_docs/assets/watsonx-orchestrate-hero.png
ui-dojo,Mastra + UI Frameworks,174,true,package.json declares an AG-UI package,https://github.com/mastra-ai/ui-dojo,
langrepl,"Interactive command-line chat application powered by Langchain, Langgraph, Prompt Toolkit and Rich, AG-UI compatible",167,true,ui/package.json declares a CopilotKit package,https://github.com/midodimori/langrepl,
scene-creator-copilot,,159,true,package.json declares an AG-UI package,https://github.com/CopilotKit/scene-creator-copilot,
open-gemini-canvas,Build on a Gemini-backed canvas,153,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/open-gemini-canvas,
agent-kernel,"The Operating System for Scalable Enterprise AI Agents - Run, orchestrate, and deploy Compliant Enterprise AI Agents at scale across frameworks, without lock-in, rewrites or fragile glue code. Native support for MCP, A2A. Interface with all mainstream communication channels seamlessly out of the box, production ready from day one.",135,true,ak-py/pyproject.toml declares an AG-UI package,https://github.com/yaalalabs/agent-kernel,https://raw.githubusercontent.com/yaalalabs/agent-kernel/HEAD/docs/static/img/branding/agent-kernel-lockup-dark.svg
generative-ui-playground,"Interact with all three types of generative UI, all in one interface",126,true,package.json declares an AG-UI package,https://github.com/CopilotKit/generative-ui-playground,
agent-sphere,"This project is an AI Agent orchestration platform. It uses an LLM-driven decision engine, combined with capabilities (built-in tools, MCP protocol, CLI execution, browser operations, etc.), to achieve a basic closed loop from perception → planning → execution → feedback.本项目是一个面向 AI Agent 编排平台。它通过 LLM 驱动的决策引擎，结合能力（内置工具、MCP 协议、CLI 执行、浏览器操作等）",121,true,agent-sphere-copilot-widget/package.json declares an AG-UI package,https://github.com/nullpointexception-i/agent-sphere,https://raw.githubusercontent.com/nullpointexception-i/agent-sphere/HEAD/agent-sphere-readme/ui-chat.png;https://raw.githubusercontent.com/nullpointexception-i/agent-sphere/HEAD/agent-sphere-readme/ui-artifact-document.png;https://raw.githubusercontent.com/nullpointexception-i/agent-sphere/HEAD/agent-sphere-readme/widget-sso-login.png;https://raw.githubusercontent.com/nullpointexception-i/agent-sphere/HEAD/agent-sphere-readme/widget-embed-custom-system-chat.png
